,X,Y,cluster
0,-1.3097481664353463,0.9533105424566912,2
1,2.5860021806093334,1.1753600158287112,1
2,-1.225393357839264,-0.8623320680855086,3
3,1.6170734378257343,-1.2412920519406296,1
4,0.22270280202448373,0.0854716268458529,1
5,0.6005263178544781,0.23797289508282984,1
6,-2.4102606025784215,-0.18924317296890583,3
7,2.9564926044556987,0.7843586140672499,1
8,-1.4876967973740203,-0.1334156533934251,2
9,2.226092011654302,-0.5326285274638293,1
10,2.586707061901477,-1.0860619779652605,1
11,2.073887135274109,0.8227229514614253,1
12,-2.879131844905491,-0.7913480240466232,2
13,-1.2658973968192817,-1.1535399542696219,2
14,2.035770498459053,-1.1881015397255212,1
15,1.7007853568240385,-1.5396349743030597,0
16,-0.921924512556349,0.027875138422554718,2
17,-1.4868001259503854,-1.1069745766445398,8
18,1.7693685233344074,-1.1268947710815858,1
19,-0.28749854713138323,1.8896376558140455,3
20,2.410849858426967,-0.4544507763158437,1
21,-2.1401879946066953,0.38364407487518576,3
22,2.141396421906472,0.5699613143828541,1
23,2.273306570231892,-0.9758648440663092,0
24,-1.2693467441386155,0.5875194571730983,7
25,2.393183810450609,1.0670781793241813,7
26,-1.6403295062151686,-1.8207402207712804,2
27,1.906377301683283,4.455328809787168,6
28,-0.09456836783963744,-0.5671307719888357,3
29,2.1319261444542787,-0.9884948046250752,1
30,-0.773266374440801,0.8667614967384978,2
31,-1.8496783704423234,-1.7458093191054749,2
32,-0.4583275170234817,-0.34565172741885986,3
33,-0.0462877511111988,0.5765564326045748,1
34,0.8090198401726789,0.3794709781122716,1
35,-1.3241979850725134,-1.0739977215344088,8
36,-1.8807959963101806,-1.8549210351103096,8
37,-1.8722153114690563,0.09452708883976532,2
38,1.5207134675450387,-1.2337838330812883,1
39,2.7563028987198264,1.0235971305825018,1
40,1.3447816866385458,-1.6761738299829065,8
41,2.922323926797658,1.224674872112715,1
42,1.6557248608099997,-1.11920383181567,7
43,-1.7892234252926988,0.5076257238333456,3
44,-1.9546051185792968,-1.6359032429414795,2
45,2.5976016145134544,1.3190074816411845,1
46,1.878132299426571,-0.967906087603698,8
47,-0.9942517151611638,0.6673373912177126,3
48,2.3644290266199235,0.4958119669604407,1
49,-1.311847823048312,-0.7052721398505999,2
50,0.31387700809819524,0.033024364079918066,1
